Date,aapl,csco,ibm,msft
2001-10-05,16.140001,14.94,98.019997,57.720001
2001-10-08,16.2,15.05,98.5,58.040001
2001-10-09,16.000001,14.59,97.139999,54.560001
2001-10-10,16.819999,15.15,97.25,55.509998
2001-10-11,17.74,16.459999,99.400002,56.32
2001-10-12,18.01,16.950001,100.839996,56.380001
2001-10-15,17.99,16.209999,102.0,58.060001
2001-10-16,18.01,16.969998999999998,101.849998,58.450001
2001-10-17,16.99,15.6,102.900002,56.029999
2001-10-18,18.0,16.719998999999998,101.260002,56.75
2001-10-19,18.3,16.719998999999998,102.650002,57.900002
2001-10-22,19.02,16.83,105.25,60.16
2001-10-23,18.14,16.41,105.809998,60.43
2001-10-24,18.95,17.23,108.57,61.32
2001-10-25,19.19,17.74,110.660004,62.560001
2001-10-26,18.67,17.290001,111.160004,62.200001
2001-10-29,17.63,16.42,108.620003,59.639999
2001-10-30,17.600001000000006,16.57,108.650002,58.880001
2001-10-31,17.56,16.92,108.07,58.150002
2001-11-01,18.59,17.66,109.889999,61.84
2001-11-02,18.569999,17.26,109.5,61.400002
2001-11-05,19.069999,17.9,109.970001,63.27
2001-11-06,19.570001,18.469999,113.610001,64.779999
2001-11-07,19.589999,18.93,113.849998,64.25
2001-11-08,18.709999,19.09,113.809998,64.41999799999999
2001-11-09,18.709999,19.200001,114.080002,65.209999
2001-11-12,18.75,19.26,114.860001,65.790001
2001-11-13,19.369999,19.58,116.699997,67.900002
2001-11-14,19.61,19.889999,114.349998,65.949997
2001-11-15,19.45,20.139999,114.75,66.120003
2001-11-16,18.97,20.02,114.5,65.75
2001-11-19,20.0,20.709999,115.0,66.540001
2001-11-20,19.53,19.790001,115.440002,65.400002
2001-11-21,19.68,19.15,114.339996,64.050003
2001-11-23,19.84,19.59,115.349998,64.709999
2001-11-26,21.37,19.93,116.330002,65.139999
2001-11-27,21.0,19.700001,114.199997,63.740002
2001-11-28,20.529999,18.879999,112.150002,62.799999
2001-11-29,20.42,19.889999,114.43,64.839996
2001-11-30,21.3,20.440001,115.589996,64.209999
2001-12-03,21.049999,19.860001,114.129997,64.769997
2001-12-04,22.4,20.52,116.639999,66.0
2001-12-05,23.76,21.540001,121.400002,68.099998
2001-12-06,22.780001,21.790001,120.139999,68.650002
2001-12-07,22.54,21.16,120.400002,67.83000200000001
2001-12-10,22.54,20.74,119.660004,67.059998
2001-12-11,21.779999,20.780001,121.5,67.32
2001-12-12,21.49,20.5,123.199997,67.949997
2001-12-13,21.0,19.01,120.25,66.269997
2001-12-14,20.389999,19.389999,121.099998,67.440002
2001-12-17,20.62,19.26,121.339996,68.980003
2001-12-18,21.01,19.620001,122.199997,69.269997
2001-12-19,21.619999,19.35,123.889999,69.489998
2001-12-20,20.670001,18.290001,122.699997,66.760002
2001-12-21,21.0,18.190001,122.0,67.540001
2001-12-24,21.36,18.110001,121.449997,67.269997
2001-12-26,21.49,18.24,122.400002,67.68
2001-12-27,22.069999,18.49,123.5,67.849998
2001-12-28,22.429999,18.540001,122.900002,67.870003
2001-12-31,21.900001,18.110001,120.959999,66.25
2002-01-02,23.299999,19.23,121.5,67.040001
2002-01-03,23.580001,20.76,123.660004,69.230003
2002-01-04,23.69,20.83,125.599998,68.900002
2002-01-07,22.9,20.530001,124.050003,68.559998
2002-01-08,22.61,20.950001,124.699997,69.379997
2002-01-09,21.65,20.85,124.489998,68.709999
2002-01-10,21.23,21.0,122.139999,69.279999
2002-01-11,21.049999,20.209999,120.309998,68.610001
2002-01-14,21.15,19.629999,118.050003,68.470001
2002-01-15,21.699999,19.68,118.849998,69.550003
2002-01-16,20.78,18.940001,117.400002,67.870003
2002-01-17,22.48,19.48,119.900002,69.860001
2002-01-18,22.17,18.85,114.25,66.099998
2002-01-22,21.82,18.059999,110.5,64.459999
2002-01-23,23.02,18.93,107.900002,63.740002
2002-01-24,23.210001,19.049999,108.720001,64.599998
2002-01-25,23.25,19.129999,109.279999,63.799999
2002-01-28,23.27,19.700001,108.150002,63.82
2002-01-29,23.070001,19.01,103.0,62.32
2002-01-30,24.090001,19.34,105.550003,62.849998
2002-01-31,24.72,19.799999,107.889999,63.709999
2002-02-01,24.41,19.209999,108.0,62.66
2002-02-04,25.349999,18.309999,106.800003,61.119999
2002-02-05,25.45,18.5,106.300003,61.150002
2002-02-06,24.670001,18.610001,106.629997,60.400002
2002-02-07,24.3,17.059998999999998,103.910004,59.799999
2002-02-08,24.029999,16.76,104.989998,60.650002
2002-02-11,24.979999,17.690001000000006,107.379997,61.130001
2002-02-12,24.71,17.26,106.57,60.139999
2002-02-13,25.01,17.52,108.07,61.82
2002-02-14,24.600001,17.459999,107.889999,61.68
2002-02-15,23.9,17.09,102.889999,60.23
2002-02-19,22.62,16.809998999999998,101.300003,58.93
2002-02-20,23.13,16.690001000000002,99.309998,59.900002
2002-02-21,21.5,15.11,96.379997,58.049999
2002-02-22,22.74,15.24,98.449997,57.990002
2002-02-25,23.809999,15.6,98.300003,59.080002
2002-02-26,23.669999,15.5,97.150002,58.549999
2002-02-27,21.96,14.24,97.830002,58.389999
2002-02-28,21.699999,14.27,98.120003,58.34
2002-03-01,23.449999,15.0,103.019997,61.369999
2002-03-04,24.29,16.48,105.900002,63.299999
2002-03-05,23.529999,16.51,105.669998,63.080002
2002-03-06,24.07,16.77,106.300003,63.630001
2002-03-07,24.380001,17.0,103.709999,62.720001
2002-03-08,24.66,17.799999,105.089996,63.950001
2002-03-11,25.059999,17.42,105.239998,64.339996
2002-03-12,24.72,16.77,108.5,62.540001
2002-03-13,24.49,16.360001,107.18,62.099998
2002-03-14,24.43,16.74,106.599998,61.220001
